iter	Passed	Remaining
0	49	48958
1	51	25545
2	54	18199
3	57	14201
4	59	11801
5	61	10225
6	63	9063
7	66	8228
8	69	7707
9	72	7140
10	74	6715
11	77	6366
12	79	6047
13	82	5795
14	84	5572
15	87	5376
16	89	5195
17	92	5036
18	95	4921
19	97	4799
20	100	4679
21	103	4584
22	105	4489
23	108	4406
24	110	4325
25	114	4281
26	116	4213
27	121	4212
28	123	4146
29	127	4112
30	130	4067
31	132	4007
32	135	3977
33	139	3962
34	142	3921
35	145	3889
36	148	3853
37	150	3817
38	154	3810
39	157	3787
40	160	3761
41	166	3795
42	171	3815
43	175	3822
44	180	3837
45	183	3809
46	186	3784
47	189	3761
48	192	3737
49	195	3715
50	199	3709
51	202	3699
52	205	3679
53	208	3659
54	211	3635
55	214	3619
56	217	3602
57	220	3585
58	223	3567
59	226	3544
60	228	3521
61	231	3501
62	234	3482
63	237	3475
64	240	3458
65	243	3443
66	245	3422
67	248	3405
68	251	3396
69	254	3384
70	258	3376
71	261	3367
72	266	3380
73	271	3398
74	276	3413
75	279	3398
76	283	3403
77	286	3390
78	289	3378
79	293	3372
80	296	3364
81	299	3353
82	302	3338
83	305	3328
84	308	3319
85	311	3312
86	314	3304
87	317	3292
88	320	3279
89	323	3267
90	325	3254
91	328	3247
92	331	3234
93	334	3222
94	337	3213
95	339	3199
96	342	3189
97	345	3179
98	348	3169
99	350	3157
100	353	3149
101	356	3141
102	359	3131
103	362	3122
104	365	3112
105	368	3103
106	373	3116
107	376	3107
108	378	3096
109	382	3091
110	385	3086
111	388	3083
112	392	3078
113	397	3089
114	405	3118
115	411	3136
116	417	3147
117	420	3146
118	423	3133
119	426	3128
120	429	3118
121	432	3111
122	435	3101
123	437	3090
124	440	3082
125	444	3080
126	447	3073
127	449	3063
128	453	3063
129	458	3069
130	461	3062
131	464	3053
132	467	3046
133	470	3038
134	473	3036
135	479	3046
136	483	3047
137	487	3044
138	489	3034
139	492	3025
140	495	3017
141	497	3008
142	500	3000
143	503	2992
144	505	2983
145	508	2975
146	511	2967
147	513	2958
148	516	2949
149	519	2941
150	521	2932
151	524	2925
152	527	2920
153	530	2912
154	533	2908
155	536	2900
156	538	2894
157	542	2890
158	544	2882
159	548	2877
160	550	2870
161	553	2864
162	556	2859
163	559	2853
164	562	2847
165	565	2842
166	568	2835
167	571	2831
168	574	2825
169	577	2820
170	580	2815
171	583	2810
172	587	2806
173	589	2800
174	593	2797
175	597	2796
176	600	2792
177	603	2787
178	606	2782
179	609	2778
180	612	2772
181	615	2767
182	618	2761
183	621	2756
184	624	2750
185	627	2745
186	630	2740
187	633	2735
188	636	2733
189	639	2727
190	643	2725
191	646	2720
192	651	2722
193	653	2717
194	657	2712
195	660	2709
196	663	2704
197	667	2703
198	670	2699
199	673	2694
200	676	2688
201	679	2684
202	682	2678
203	685	2674
204	689	2672
205	692	2667
206	696	2667
207	700	2667
208	703	2663
209	706	2659
210	709	2654
211	712	2649
212	715	2643
213	718	2638
